Serial #,PPD,Temp (Celsius),RH (%),ADC Raw,T Raw,RH Raw,Day (Time Elapsed),Hour ,Minute ,Second
1.2042E+11,2051,19,22,31867,24596,15018,0,0,12,36
1.2042E+11,2093,19,22,31850,24604,15014,0,0,12,37
1.2042E+11,2088,19,22,31852,24600,15014,0,0,12,38
1.2042E+11,2066,19,22,31861,24604,15018,0,0,12,39
1.2042E+11,2122,19,22,31838,24608,15022,0,0,12,40
1.2042E+11,2037,19,22,31873,24600,15018,0,0,12,41
1.2042E+11,2027,19,22,31877,24600,15018,0,0,12,42
1.2042E+11,2078,19,22,31856,24600,15018,0,0,12,43
1.2042E+11,1986,19,22,31894,24600,15022,0,0,12,44
1.2042E+11,2102,19,22,31846,24592,15030,0,0,12,45
1.2042E+11,2054,19,22,31866,24596,15026,0,0,12,46
1.2042E+11,2068,19,22,31860,24596,15034,0,0,12,47
1.2042E+11,2061,19,22,31863,24592,15014,0,0,12,48
1.2042E+11,1979,19,22,31897,24588,15022,0,0,12,49
1.2042E+11,2030,19,22,31876,24580,15022,0,0,12,50
1.2042E+11,2042,19,22,31871,24584,15022,0,0,12,51
1.2042E+11,2032,19,22,31875,24588,15026,0,0,12,52
1.2042E+11,2056,19,22,31865,24576,15022,0,0,12,53
1.2042E+11,2003,19,22,31887,24576,15026,0,0,12,54
1.2042E+11,1986,19,22,31894,24580,15022,0,0,12,55
1.2042E+11,2020,19,22,31880,24572,15026,0,0,12,56
1.2042E+11,2022,19,22,31879,24576,15022,0,0,12,57
1.2042E+11,2022,19,22,31879,24580,15030,0,0,12,58
1.2042E+11,1954,19,22,31907,24564,15026,0,0,12,59
1.2042E+11,1947,19,22,31910,24572,15026,0,0,13,0
1.2042E+11,1937,18,22,31914,24556,15030,0,0,13,1
1.2042E+11,2015,19,22,31882,24560,15026,0,0,13,2
1.2042E+11,1966,19,22,31902,24560,15034,0,0,13,2
1.2042E+11,1976,18,22,31898,24552,15034,0,0,13,3
1.2042E+11,1974,19,22,31899,24560,15030,0,0,13,4
1.2042E+11,1979,19,22,31897,24564,15038,0,0,13,5
1.2042E+11,2022,19,22,31879,24560,15042,0,0,13,6
1.2042E+11,1969,18,22,31901,24552,15046,0,0,13,7
1.2042E+11,2095,18,22,31849,24556,15054,0,0,13,8
1.2042E+11,1932,19,22,31916,24564,15058,0,0,13,9
1.2042E+11,1877,19,22,31939,24560,15058,0,0,13,10
1.2042E+11,2005,18,22,31886,24556,15062,0,0,13,11
1.2042E+11,1962,18,22,31904,24556,15074,0,0,13,12
1.2042E+11,1932,19,22,31916,24568,15074,0,0,13,13
1.2042E+11,1962,19,22,31904,24568,15082,0,0,13,14
1.2042E+11,2000,19,22,31888,24568,15086,0,0,13,15
1.2042E+11,1947,19,22,31910,24572,15098,0,0,13,16
1.2042E+11,1949,19,22,31909,24584,15098,0,0,13,17
